Date/Time,Temperature,Prectotland,Air_Density,Solar_Irradiation,Cloud_Cover,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),Wind Direction Bin,Numeric Month
2018-01-01 01:00:00,4.076,0.0,1.249,0.0,0.416,447.605712890625,5.79300785064697,557.372363290225,266.163604736328,265.0,1.0
2018-01-01 02:00:00,4.122,0.0,1.249,0.0,0.379,710.587280273437,6.54741382598876,824.662513585882,274.23291015625,270.0,1.0
2018-01-01 03:00:00,4.002,0.0,1.25,0.0,0.372,736.647827148437,6.41508293151855,773.172863451736,261.15869140625,260.0,1.0
2018-01-01 04:00:00,3.862,0.0,1.251,0.0,0.307,1493.80798339843,7.94310188293457,1497.58372354361,256.407409667968,255.0,1.0
2018-01-01 05:00:00,3.733,0.0,1.251,9.154,0.276,1164.89294433593,7.09829807281494,1060.85971215544,235.227905273437,235.0,1.0
2018-01-01 06:00:00,4.94,0.0,1.251,103.836,0.124,1114.02697753906,7.2392520904541,1127.43320551345,248.401000976562,245.0,1.0
2018-01-01 07:00:00,6.21,0.0,1.248,268.405,0.018,909.887817382812,6.88782119750976,966.279104864065,235.84829711914,235.0,1.0
2018-01-01 08:00:00,7.682,0.0,1.242,380.155,0.002,585.259399414062,5.81682586669921,564.927659543473,240.328796386718,240.0,1.0
2018-01-01 09:00:00,8.995,0.0,1.235,440.423,0.0,725.868103027343,6.19436883926391,691.546334303948,199.848495483398,195.0,1.0
2018-01-01 10:00:00,9.971,0.0,1.23,444.572,0.0,881.062072753906,6.66665792465209,872.739625855708,235.667495727539,235.0,1.0
2018-01-01 11:00:00,10.571,0.0,1.226,392.332,0.0,233.990600585937,4.55453395843505,233.632780531927,234.105606079101,230.0,1.0
2018-01-01 12:00:00,10.733,0.0,1.224,286.533,0.0,194.181198120117,4.32376098632812,185.598479588255,227.039993286132,225.0,1.0
2018-01-01 13:00:00,10.254,0.0,1.223,148.02,0.0,346.86441040039,5.00293922424316,336.721998240131,235.279495239257,235.0,1.0
2018-01-01 14:00:00,8.792,0.0,1.223,20.582,0.0,589.073120117187,5.98137807846069,618.731442665699,234.984405517578,230.0,1.0
2018-01-01 15:00:00,7.964,0.0,1.223,0.0,0.0,1616.84594726562,8.28225994110107,1695.53877696245,236.461395263671,235.0,1.0
